nuclide   ,mass                ,uncertainty         ,Year/link 
49Ni      ,49.009157           ,0.000644            ,2020      
50Cl      ,50.008266           ,0.000429            ,2020      
50Ar      ,49.985797           ,0.000537            ,2020      
50K       ,49.972380015        ,0.000008300         ,2020      
50Ca      ,49.957499215        ,0.000001700         ,2020      
50Sc      ,49.952187437        ,0.000002700         ,2020      
50Ti      ,49.944785622        ,0.000000088         ,2020      
50V       ,49.947156681        ,0.000000099         ,2020      
50Cr      ,49.946042209        ,0.000000100         ,2020      
50Mn      ,49.954238157        ,0.000000123         ,2020      
50Fe      ,49.962988000        ,0.000009000         ,2020      
50Co      ,49.981117000        ,0.000135000         ,2020      
50Ni      ,49.996286           ,0.000537            ,2020      
51Cl      ,51.015341           ,0.000751            ,2020      
51Ar      ,50.993033           ,0.000429            ,2020      
51K       ,50.975828664        ,0.000014000         ,2020      
51Ca      ,50.960995663        ,0.000000560         ,2020      
51Sc      ,50.953568838        ,0.000002700         ,2020      
51Ti      ,50.946609468        ,0.000000519         ,2020      
51V       ,50.943957664        ,0.000000104         ,2020      
51Cr      ,50.944765388        ,0.000000178         ,2020      
51Mn      ,50.948208770        ,0.000000326         ,2020      
51Fe      ,50.956855137        ,0.000001501         ,2020      
51Co      ,50.970647000        ,0.000052000         ,2020      
51Ni      ,50.987493           ,0.000537            ,2020      
52Cl      ,52.024004           ,0.000751            ,2020      
52Ar      ,51.998519           ,0.000644            ,2020      
52K       ,51.981602000        ,0.000036000         ,2020      
52Ca      ,51.963213646        ,0.000000720         ,2020      
52Sc      ,51.956496170        ,0.000003300         ,2020      
52Ti      ,51.946883509        ,0.000002948         ,2020      
52V       ,51.944773636        ,0.000000170         ,2020      
52Cr      ,51.940504714        ,0.000000120         ,2020      
52Mn      ,51.945559090        ,0.000000138         ,2020      
52Fe      ,51.948113364        ,0.000000192         ,2020      
52Co      ,51.963130224        ,0.000005669         ,2020      
52Ni      ,51.975781000        ,0.000089000         ,2020      
52Cu      ,51.997982           ,0.000644            ,2020      
53Ar      ,53.007290           ,0.000750            ,2020      
53K       ,52.986800000        ,0.000120000         ,2020      
53Ca      ,52.968451000        ,0.000047000         ,2020      
53Sc      ,52.958379173        ,0.000019000         ,2020      
53Ti      ,52.949670714        ,0.000003100         ,2020      
53V       ,52.944334940        ,0.000003331         ,2020      
53Cr      ,52.940646304        ,0.000000124         ,2020      
53Mn      ,52.941287497        ,0.000000371         ,2020      
53Fe      ,52.945305629        ,0.000001792         ,2020      
53Co      ,52.954203278        ,0.000001854         ,2020      
53Ni      ,52.968190000        ,0.000027000         ,2020      
53Cu      ,52.985894           ,0.000537            ,2020      
54Ar      ,54.013484           ,0.000859            ,2020      
54K       ,53.994471           ,0.000429            ,2020      
54Ca      ,53.972989000        ,0.000052000         ,2020      
54Sc      ,53.963029359        ,0.000015000         ,2020      
54Ti      ,53.950892000        ,0.000017000         ,2020      
54V       ,53.946432009        ,0.000012001         ,2020      
54Cr      ,53.938877359        ,0.000000142         ,2020      
54Mn      ,53.940355772        ,0.000001080         ,2020      
54Fe      ,53.939608189        ,0.000000368         ,2020      
54Co      ,53.948459075        ,0.000000380         ,2020      
54Ni      ,53.957833000        ,0.000005000         ,2020      
54Cu      ,53.977198           ,0.000429            ,2020      
54Zn      ,53.993879           ,0.000232            ,2020      
55K       ,55.000505           ,0.000537            ,2020      
55Ca      ,54.979978000        ,0.000172000         ,2020      
55Sc      ,54.966889637        ,0.000067000         ,2020      
55Ti      ,54.955091000        ,0.000031000         ,2020      
55V       ,54.947262000        ,0.000029000         ,2020      
55Cr      ,54.940836637        ,0.000000245         ,2020      
55Mn      ,54.938043040        ,0.000000279         ,2020      
55Fe      ,54.938291158        ,0.000000330         ,2020      
55Co      ,54.941996416        ,0.000000434         ,2020      
55Ni      ,54.951329846        ,0.000000757         ,2020      
55Cu      ,54.966038000        ,0.000167000         ,2020      
55Zn      ,54.984681           ,0.000429            ,2020      
56K       ,56.008567           ,0.000644            ,2020      
56Ca      ,55.985496000        ,0.000268000         ,2020      
56Sc      ,55.972607611        ,0.000278761         ,2020      
56Ti      ,55.957677675        ,0.000107569         ,2020      
56V       ,55.950420082        ,0.000188819         ,2020      
56Cr      ,55.940648977        ,0.000000620         ,2020      
56Mn      ,55.938902816        ,0.000000314         ,2020      
56Fe      ,55.934935537        ,0.000000287         ,2020      
