z         nuclide   A         mass                uncertainty         Year/link 
16        S         41        40.979593451        0.000004400         2020      
16        S         42        41.981065100        0.000003000         2020      
16        S         43        42.986907635        0.000005335         2020      
16        S         44        43.990118846        0.000005600         2020      
16        S         45        44.996414           0.000322            2020      
16        S         46        46.000687           0.000429            2020      
16        S         47        47.007730           0.000429            2020      
16        S         48        48.013301           0.000537            2020      
16        S         49        49.021891           0.000626            2020      
--------------------------------------------------------------------------------
17        Cl        28        28.030349           0.000537            2020      
17        Cl        29        29.015053           0.000203            2020      
17        Cl        30        30.005018333        0.000025631         2020      
17        Cl        31        30.992448097        0.000003700         2020      
17        Cl        32        31.985684605        0.000000603         2020      
17        Cl        33        32.977451988        0.000000419         2020      
17        Cl        34        33.973762490        0.000000052         2020      
17        Cl        35        34.968852694        0.000000038         2020      
17        Cl        36        35.968306822        0.000000038         2020      
17        Cl        37        36.965902573        0.000000055         2020      
17        Cl        38        37.968010408        0.000000105         2020      
17        Cl        39        38.968008151        0.000001859         2020      
17        Cl        40        39.970415466        0.000034423         2020      
17        Cl        41        40.970684525        0.000073777         2020      
17        Cl        42        41.973342000        0.000064000         2020      
17        Cl        43        42.974063700        0.000066407         2020      
17        Cl        44        43.978014918        0.000091859         2020      
17        Cl        45        44.980394353        0.000146177         2020      
17        Cl        46        45.985254926        0.000104400         2020      
17        Cl        47        46.989715           0.000215            2020      
17        Cl        48        47.995405           0.000537            2020      
17        Cl        49        49.000794           0.000429            2020      
17        Cl        50        50.008266           0.000429            2020      
17        Cl        51        51.015341           0.000751            2020      
17        Cl        52        52.024004           0.000751            2020      
--------------------------------------------------------------------------------
18        Ar        29        29.040761           0.000471            2020      
18        Ar        30        30.023694           0.000192            2020      
18        Ar        31        31.012158           0.000215            2020      
18        Ar        32        31.997637824        0.000001900         2020      
18        Ar        33        32.989925545        0.000000430         2020      
18        Ar        34        33.980270092        0.000000083         2020      
18        Ar        35        34.975257719        0.000000730         2020      
18        Ar        36        35.967545106        0.000000028         2020      
18        Ar        37        36.966776301        0.000000221         2020      
18        Ar        38        37.962732102        0.000000209         2020      
18        Ar        39        38.964313037        0.000005367         2020      
18        Ar        40        39.96238312204      0.00000000234       2020      
18        Ar        41        40.964500570        0.000000372         2020      
18        Ar        42        41.963045737        0.000006200         2020      
18        Ar        43        42.965636056        0.000005700         2020      
18        Ar        44        43.964923814        0.000001700         2020      
18        Ar        45        44.968039731        0.000000550         2020      
18        Ar        46        45.968039244        0.000002500         2020      
18        Ar        47        46.972767112        0.000001300         2020      
18        Ar        48        47.976001000        0.000018000         2020      
18        Ar        49        48.981685           0.000429            2020      
18        Ar        50        49.985797           0.000537            2020      
18        Ar        51        50.993033           0.000429            2020      
18        Ar        52        51.998519           0.000644            2020      
18        Ar        53        53.007290           0.000750            2020      
18        Ar        54        54.013484           0.000859            2020      
--------------------------------------------------------------------------------
19        K         31        31.036780           0.000322            2020      
19        K         32        32.023607           0.000429            2020      
19        K         33        33.008095           0.000215            2020      
19        K         34        33.998690           0.000210            2020      
19        K         35        34.988005406        0.000000550         2020      
19        K         36        35.981301887        0.000000349         2020      
19        K         37        36.973375890        0.000000100         2020      
19        K         38        37.969081114        0.000000209         2020      
19        K         39        38.96370648482      0.00000000489       2020      
19        K         40        39.963998165        0.000000060         2020      
19        K         41        40.96182525611      0.00000000403       2020      
19        K         42        41.962402305        0.000000113         2020      
19        K         43        42.960734701        0.000000440         2020      
19        K         44        43.961586984        0.000000450         2020      
19        K         45        44.960691491        0.000000560         2020      
19        K         46        45.961981584        0.000000780         2020      
19        K         47        46.961661612        0.000001500         2020      
19        K         48        47.965341184        0.000000830         2020      
19        K         49        48.968210753        0.000000860         2020      
19        K         50        49.972380015        0.000008300         2020      
19        K         51        50.975828664        0.000014000         2020      
19        K         52        51.981602000        0.000036000         2020      
19        K         53        52.986800000        0.000120000         2020      
19        K         54        53.994471           0.000429            2020      
19        K         55        55.000505           0.000537            2020      
19        K         56        56.008567           0.000644            2020      
19        K         57        57.015169           0.000644            2020      
19        K         58        58.023543           0.000751            2020      
19        K         59        59.030864           0.000859            2020      
--------------------------------------------------------------------------------
20        Ca        33        33.033312           0.000429            2020      
20        Ca        34        34.015985           0.000322            2020      
20        Ca        35        35.005572           0.000215            2020      
20        Ca        36        35.993074388        0.000042941         2020      
20        Ca        37        36.985897849        0.000000680         2020      
20        Ca        38        37.976319223        0.000000208         2020      
20        Ca        39        38.970710811        0.000000640         2020      
